CPU型号,CPU频率,GPU型号,RAM容量,ROM容量,id,主屏分辨率,主屏尺寸,价格,前置摄像头,后置摄像头,型号,摄像头总数,核心数,电池容量,tags,cpu
联发科 MT6739WW,1.5GHz>,,1GB>游戏运行卡顿,8GB>1638张照片682首歌曲,786,720x1520像素2K超清（击败99.83%手机）,5.45英寸可单手打字更多5.45英寸手机＞,即将上市,500万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,诺基亚1 Plus（全网通）,双摄像头（前后）>,四核>,2500mAh小电池,,mt6739
高通 骁龙625（MSM8953），,2.0GHz>,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,787,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,5890,800万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,红鸟健康云手机H1,双摄像头（前后）>,八核>,3420mAh大电池大电池手机>,,骁龙625
联发科 Helio P22,,Mali-T860 MP2,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,788,1440x720像素720P普清（击败86.79%手机）,6英寸需双手打字更多6英寸手机＞,799,800万像素>普通级像素高像素自拍手机>,1300万像素+500万像素高清级像素高清像素手机>,诺基亚3.1 Plus（3GB RAM/全网通）,双摄像头（前后）>,八核>,3500mAh大电池大电池手机>,,helio p22
联发科 MT6753,1.3GHz>,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,789,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,650,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,中兴Blade A2S（全网通）,双摄像头（前后）>,八核>,2540mAh小电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,mt6753
海思 Kirin 970+微智核i7,,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,790,2560x1440像素>2K超清（击败99.81%手机）,6.9英寸需双手打字更多6.9英寸手机＞,概念产品,,双1600万像素高清级像素高清像素手机>,荣耀Note10劳斯莱斯版（全网通）,,,,,麒麟970
联发科 Helio P20，,2.3GHz（大四核），1.6GHz（小四核）,,4GB>游戏运行一般,32GB>6553张照片2730首歌曲,791,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1720,800万像素>普通级像素高像素自拍手机>,2300万像素高清级像素高清像素手机>,索尼Xperia XA1 Plus（双4G）,双摄像头（前后）>,八核>,3430mAh大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,helio p20
联发科 MT6750,1.5GHz（大四核），1.0GHz（小四核）,Mali-T860,3GB>游戏运行卡顿,64GB>1.3万张照片5461首歌曲,792,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1099,1600万像素>高清级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,努比亚M2青春版（3GB RAM/全网通）,双摄像头（前后）>,八核>,3000mAh小电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,mt6750
联发科 MT6763,2.0GHz>,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,793,2160x1080像素1080P高清（击败98.21%手机）,6英寸需双手打字更多6英寸手机＞,2980,800万像素>普通级像素高像素自拍手机>,1600万像素>高清级像素高清像素手机>,私人医生H1（全网通）,双摄像头（前后）>,八核>,3500mAh大电池大电池手机>,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,mt6763
高通 骁龙435（MSM8940）游戏体验 重掉帧(击败21%手机)，,1.4GHz（大四核），1.0GHz（小四核）,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,794,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,1199,1300万像素>高清级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,中兴Blade V8（全网通）,三摄像头（后双）>,八核>,2730mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,骁龙435
高通 骁龙835（MSM8998），,,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,795,2560x1440像素>2K超清（击败99.81%手机）,6.4英寸需双手打字更多6.4英寸手机＞,概念产品,,1600万像素>高清级像素高清像素手机>,小米6 MIX（全网通）,,,4000mAh大电池,性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙835
,,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,796,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,399,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,天语X11（2GB RAM/全网通）,双摄像头（前后）>,,2350mAh小电池,,
联发科 Helio P25，,1.8GHz>,Mali-T880,2GB/3GB/4GB游戏运行一般,16GB/32GB/64GB3276张照片1365首歌曲,797,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,概念产品,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,魅族魅蓝S（全网通）,双摄像头（前后）>,八核>,3920mAh大电池大电池手机>,,helio p25
高通 骁龙625（MSM8953）,2.0GHz>,高通 Adreno506,4GB>游戏运行一般,32GB>6553张照片2730首歌曲,798,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1099,800万像素>普通级像素高像素自拍手机>,双1300万像素高清级像素 样张秀>，高清像素手机>,锤子科技坚果Pro（32GB ROM/全网通）,三摄像头（后双）>,八核>,3500mAh大电池大电池手机>,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性,骁龙625
联发科 MT6735，,1.3GHz>,Mali-T720,1GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,799,960x540像素>720P普清（击败76.58%手机）,5.5英寸可单手打字更多5.5英寸手机＞,465,200万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,天语X7（全网通）,双摄像头（前后）>,四核>,2000mAh小电池,,mt6735
,,,,,800,,,概念产品,,,小米8S（全网通）,,,,,
高通 骁龙821（MSM8996 Pro），,2.35GHz,高通 Adreno530,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,801,1920x1080像素>1080P高清（击败98.21%手机）,5.7英寸可单手打字更多5.7英寸手机＞,3029,800万像素>普通级像素高像素自拍手机>,2256万像素高清级像素 样张秀>，高清像素手机>,小米Note 2（全球版/全网通）,双摄像头（前后）>,,4070mAh大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙821
,,,3GB>游戏运行卡顿,64GB>1.3万张照片5461首歌曲,802,1512x720像素720P普清（击败86.79%手机）,6.2英寸需双手打字更多6.2英寸手机＞,1349,500万像素>普通级像素高像素自拍手机>,1300万像素+辅助景深双摄高清级像素高清像素手机>,酷比K10（全网通）,双摄像头（前后）>,八核>,3300mAh大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,
三星 Exynos 7570,1.43GHz,,2GB>游戏运行卡顿,,803,,,概念产品,,,三星Galaxy J4（全网通）,,四核>,,性价比 体验 效率 价格,exynos 7570
高通 骁龙845,2.8GHz,高通 Adreno630,8GB>游戏运行流畅,64GB/128GB1.3万张照片5461首歌曲,804,2160x1080像素1080P高清（击败98.21%手机）,6英寸需双手打字更多6英寸手机＞,3699,2000万像素高清级像素高像素自拍手机>,2400万像素+1200万像素高清级像素高清像素手机>,AGM X3（8GB RAM/全网通）,三摄像头（后双）>,八核>,4100mAh大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性价比 体验 效率 价格,骁龙845
高通 骁龙430（MSM8937）,1.4GHz>,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,805,1440x720像素720P普清（击败86.79%手机）,6英寸需双手打字更多6英寸手机＞,1699,500万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素高清像素手机>,Moto E5 Plus（4GB RAM/全网通）,双摄像头（前后）>,八核>,5000mAh大电池,,骁龙430
Helio P10（MT6755M）游戏体验 重掉帧(击败33%手机),1.8GHz>,Mali-T860,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,806,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,799,800万像素>普通级像素高像素自拍手机>,1600万像素>高清级像素 样张秀>，高清像素手机>,TCL 750（全网通）,双摄像头（前后）>,八核>,2800mAh小电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,helio p10
高通 骁龙435（MSM8940）,1.4GHz（大四核），1.1GHz（小四核）,高通 Adreno505,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,807,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,758,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,华为畅享7 Plus（3GB RAM/移动全网通）,双摄像头（前后）>,八核>,4000mAh大电池,性价比 体验 效率 价格 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合,骁龙435
高通 骁龙,1.8GHz>,高通 Adreno506,4GB>游戏运行一般,64GB/128GB1.3万张照片5461首歌曲,808,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,1099,2000万像素+800万像素高清级像素高像素自拍手机>,1600万像素（6400万像素拍照模式）+800万像素高清级像素 样张秀>，高清像素手机>,SUGAR S11（全网通）,四摄像头>,八核>,3060mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,
,1.8GHz>,,,32GB/64GB6553张照片2730首歌曲,809,,6英寸需双手打字更多6英寸手机＞,即将上市,2400万像素高清级像素高像素自拍手机>,1600万像素+500万像素高清级像素高清像素手机>,三星2018版GALAXY A6+（全网通）,双摄像头（前后）>,,3500mAh大电池大电池手机>,,
高通 骁龙653（MSM8976 Pro），,1.95GHz,高通 Adreno510,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,810,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,7999,1600万像素>高清级像素高像素自拍手机>,双1200万像素高清级像素高清像素手机>,AGM X2（极客版/全网通）,,八核>,8000mAh大电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性能 速度 流畅 综合 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙653
高通 骁龙660，,,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,811,2246x1080像素1080P高清（击败98.21%手机）,6.2英寸需双手打字更多6.2英寸手机＞,1198,2000万像素+800万像素高清级像素高像素自拍手机>,1200万像素+2000万像素高清级像素高清像素手机>,联想S5 Pro GT（4GB RAM/全网通）,四摄像头（前双+后双）>,八核>,3500mAh大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格,骁龙660
高通 骁龙630,,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,812,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,2799,1600万像素>高清级像素高像素自拍手机>,1200万像素+800万像素高清级像素高清像素手机>,Moto X4（全网通）,三摄像头（后双）>,,3000mAh小电池,,骁龙630
高通 骁龙835（MSM8998），,2.35GHz（大四核），1.9GHz（小四核）,高通 Adreno540,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,813,2960x1440像素2K超清（击败99.81%手机）,5.8英寸可单手打字更多5.8英寸手机＞,3499,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,三星GALAXY S8（G9508/移动4G）,双摄像头（前后）>,八核>,3000mAh（30分钟充电32%）小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 性价比 体验 效率 价格,骁龙835
三星 Exynos 7870,1.59GHz,,2GB>游戏运行卡顿,,814,1280x720像素>720P普清（击败86.79%手机）,,概念产品,,,三星Galaxy J6（全网通）,,八核>,,,exynos 7870
高通 骁龙435（MSM8940），,1.4GHz（大四核），1.1GHz（小四核）,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,815,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,即将上市,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素高清像素手机>,华为Y7 Prime（全网通）,双摄像头（前后）>,八核>,4000mAh大电池,,骁龙435
高通 骁龙430（MSM8937），,1.4GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,816,1440x720像素720P普清（击败86.79%手机）,5.7英寸可单手打字更多5.7英寸手机＞,659,800万像素>普通级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,联想K5 Play（2GB RAM/全网通）,三摄像头（后双）>,八核>,3000mAh小电池,,骁龙430
联发科 MT6735，,1.3GHz>,Mali-T720,2GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,817,1280x720像素>720P普清（击败86.79%手机）,5英寸可单手打字更多5英寸手机＞,1768,200万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,乐目V18H（全网通）,双摄像头（前后）>,四核>,5000mAh大电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,mt6735
高通 骁龙450,1.8GHz>,高通 Adreno506,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,818,1440x720像素720P普清（击败86.79%手机）,6英寸需双手打字更多6英寸手机＞,999,800万像素>普通级像素高像素自拍手机>,1600万像素+200万像素高清级像素高清像素手机>,联想K5 Note（4GB RAM/全网通）,三摄像头（后双）>,八核>,3760mAh大电池大电池手机>,性价比 体验 效率 价格 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙450
联发科 MT6737，,1.2GHz>,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,819,1280x720像素>720P普清（击败86.79%手机）,5.2英寸可单手打字更多5.2英寸手机＞,1169,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,国美S1（全网通）,双摄像头（前后）>,四核>,4000mAh大电池,性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,mt6737
展讯 SC9832A,1.3GHz>,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,820,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,399,200万像素>普通级像素高像素自拍手机>,500万像素普通级像素高清像素手机>,朵唯V15（双4G）,双摄像头（前后）>,四核>,,,
联发科 MT6737，,1.5GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,821,1440x720像素720P普清（击败86.79%手机）,5.7英寸可单手打字更多5.7英寸手机＞,499,500万像素>普通级像素高像素自拍手机>,双1300万像素高清级像素高清像素手机>,大神6A（2GB RAM/全网通）,三摄像头（后双）>,四核>,3000mAh小电池,外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,mt6737
高通 骁龙625（MSM8953），,2.2GHz>,Mali-T830,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,822,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,即将上市,500万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,三星2017版GALAXY J7（全网通）,双摄像头（前后）>,八核>,3000mAh小电池,,骁龙625
海思 Kirin 650，,2.0GHz（大四核），1.7GHz（小四核）,Mali-T830,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,823,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,800,800万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素 样张秀>，高清像素手机>,荣耀畅玩5C（NEM-UL10/双4G）,双摄像头（前后）>,八核>,3000mAh小电池,网络 信号 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,麒麟650
高通 骁龙200,,,1GB>游戏运行卡顿,8GB>1638张照片682首歌曲,824,1280x720像素>720P普清（击败86.79%手机）,5英寸可单手打字更多5英寸手机＞,299,200万像素>普通级像素高像素自拍手机>,500万像素普通级像素高清像素手机>,海信M30（全网通）,单摄像头>,,2000mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙200
海思 Kirin 650，,2.0GHz（大四核），1.7GHz（小四核）,Mali-T830,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,825,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,800,800万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素 样张秀>，高清像素手机>,荣耀畅玩5C（NEM-AL10/标准版/全网通）,双摄像头（前后）>,八核>,3000mAh小电池,网络 信号 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,麒麟650
高通 骁龙435,,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,826,1280x720像素>720P普清（击败86.79%手机）,3.3英寸可单手打字更多3.3英寸手机＞,即将上市,800万像素>普通级像素高像素自拍手机>,2100万像素高清级像素高清像素手机>,TCL Palm（全网通）,双摄像头（前后）>,,800mAh>小电池,,骁龙435
高通 骁龙636,,Adreno 509,6GB>游戏运行良好,64GB>1.3万张照片5461首歌曲,827,2280x1080像素1080P高清（击败98.21%手机）,6.26英寸需双手打字更多6.26英寸手机＞,1572,2000万像素+200万像素高清级像素高像素自拍手机>,1200万像素+500万像素高清级像素高清像素手机>,小米红米Note 6 Pro（6GB RAM/全网通）,四摄像头（前双+后双）>,八核>,4000mAh大电池,,骁龙636
高通 骁龙845，,,,8GB>游戏运行流畅,128GB>2.6万张照片1.1万首歌曲,828,2880x1440像素2K超清（击败99.81%手机）,5.5英寸可单手打字更多5.5英寸手机＞,概念产品,2000万像素高清级像素高像素自拍手机>,双1600万像素高清级像素高清像素手机>,努比亚Z18S（全网通）,三摄像头（后双）>,八核>,4500mAh大电池,,骁龙845
高通 骁龙410（MSM8916），,1.2GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,829,1280x720像素>720P普清（击败86.79%手机）,4.7英寸可单手打字更多4.7英寸手机＞,1079,500万像素>普通级像素高像素自拍手机>,800万像素>普通级像素 样张秀>，高清像素手机>,ivvi 小骨Pro（Sk3-01/全网通）,双摄像头（前后）>,四核>,1800mAh小电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙410
高通 骁龙845，,,,6GB>游戏运行良好,128GB/256GB2.6万张照片1.1万首歌曲,830,,6.1英寸需双手打字更多6.1英寸手机＞,概念产品,1300万像素>高清级像素高像素自拍手机>,2000万像素+1200万像素高清级像素高清像素手机>,小米7 Plus（全网通）,三摄像头（后双）>,,3500mAh大电池大电池手机>,,骁龙845
高通 骁龙MSM8937,1.4GHz>,,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,831,1920x1200像素1080P高清（击败98.37%手机）,8英寸需双手打字更多8英寸手机＞,1999,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,海信E9 pro,双摄像头（前后）>,八核>,5050mAh大电池,,
,1.8GHz>,,3GB/4GB/6GB游戏运行良好,256GB>5.2万张照片2.2万首歌曲,832,2160x1080像素1080P高清（击败98.21%手机）,6英寸需双手打字更多6英寸手机＞,即将上市,800万像素>普通级像素高像素自拍手机>,1600万像素+200万像素高清级像素高清像素手机>,中兴V890（全网通）,三摄像头（后双）>,,,,
高通 骁龙210（MSM8909），,1.3GHz>,,1.5GB游戏运行卡顿,16GB>3276张照片1365首歌曲,833,1280x720像素>720P普清（击败86.79%手机）,5.3英寸可单手打字更多5.3英寸手机＞,1170,500万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,LG  X Power（联通4G）,双摄像头（前后）>,四核>,4100mAh大电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙210
高通 骁龙660，,,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,834,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,概念产品,2000万像素高清级像素高像素自拍手机>,2000万像素+1200万像素高清级像素高清像素手机>,小米A2（全网通）,三摄像头（后双）>,八核>,3010mAh小电池,,骁龙660
联发科 MT6737T,1.4GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,835,1280x720像素>720P普清（击败86.79%手机）,5英寸可单手打字更多5英寸手机＞,概念产品,500万像素>普通级像素高像素自拍手机>,800万像素>普通级像素高清像素手机>,华为Y5 2017（全网通）,双摄像头（前后）>,,3000mAh小电池,,mt6737
高通 骁龙617（MSM8952），,,,3GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,836,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,1180,800万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,黑莓DTEK50（双4G）,双摄像头（前后）>,八核>,2610mAh小电池,,骁龙617
三星 Exynos 7870,1.5GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,837,1280x720像素>720P普清（击败86.79%手机）,4.7英寸可单手打字更多4.7英寸手机＞,即将上市,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素高清像素手机>,三星2017版GALAXY A3（全网通）,双摄像头（前后）>,八核>,3000mAh小电池,,exynos 7870
